"language","rank","channel_name","language_reactor_displayed_count","youtube_search_url","language_reactor_catalog_url"
"en","16","Steve Kaufmann - lingosteve","727","https://www.youtube.com/results?search_query=Steve%20Kaufmann%20-%20lingosteve","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","17","Ruri Ohama","233","https://www.youtube.com/results?search_query=Ruri%20Ohama","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","18","Vox","626","https://www.youtube.com/results?search_query=Vox","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","19","TBS","425","https://www.youtube.com/results?search_query=TBS","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","20","linguamarina","479","https://www.youtube.com/results?search_query=linguamarina","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","21","Learn English with EnglishClass101.com","542","https://www.youtube.com/results?search_query=Learn%20English%20with%20EnglishClass101.com","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","22","CrashCourse","922","https://www.youtube.com/results?search_query=CrashCourse","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","23","Psych2Go","745","https://www.youtube.com/results?search_query=Psych2Go","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","24","Ali Abdaal","734","https://www.youtube.com/results?search_query=Ali%20Abdaal","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","25","Vogue","434","https://www.youtube.com/results?search_query=Vogue","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","26","Learn English with Bob the Canadian","683","https://www.youtube.com/results?search_query=Learn%20English%20with%20Bob%20the%20Canadian","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","27","vlogbrothers","773","https://www.youtube.com/results?search_query=vlogbrothers","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","28","The Infographics Show","856","https://www.youtube.com/results?search_query=The%20Infographics%20Show","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","29","mmmEnglish","306","https://www.youtube.com/results?search_query=mmmEnglish","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
"en","30","Easy English","224","https://www.youtube.com/results?search_query=Easy%20English","https://www.languagereactor.com/c/en/yt/t_yt_all_en"
